depth=1, heuristic=0, winner=RED
depth=1, heuristic=0, winner=BLUE
depth=1, heuristic=0, winner=BLUE
depth=1, heuristic=1, winner=BLUE
depth=1, heuristic=2, winner=BLUE
depth=1, heuristic=3, winner=RED
depth=1, heuristic=4, winner=BLUE
depth=1, heuristic=5, winner=BLUE
depth=4, heuristic=0, winner=BLUE
depth=4, heuristic=1, winner=BLUE
depth=4, heuristic=2, winner=BLUE
depth=4, heuristic=3, winner=BLUE
depth=4, heuristic=4, winner=BLUE
depth=4, heuristic=5, winner=BLUE
depth=6, heuristic=0, winner=BLUE
depth=6, heuristic=1, winner=BLUE
depth=6, heuristic=2, winner=BLUE
depth=6, heuristic=3, winner=RED
depth=6, heuristic=4, winner=BLUE
depth=6, heuristic=5, winner=BLUE
depth=1, heuristic=0, winner=BLUE
depth=1, heuristic=1, winner=BLUE
depth=1, heuristic=2, winner=BLUE
depth=1, heuristic=3, winner=BLUE
depth=1, heuristic=4, winner=BLUE
depth=1, heuristic=5, winner=BLUE
depth=4, heuristic=0, winner=BLUE
depth=4, heuristic=1, winner=BLUE
depth=4, heuristic=2, winner=BLUE
depth=4, heuristic=3, winner=BLUE
depth=4, heuristic=4, winner=BLUE
depth=4, heuristic=5, winner=BLUE
depth=6, heuristic=0, winner=BLUE
depth=6, heuristic=1, winner=BLUE
depth=6, heuristic=2, winner=BLUE
depth=6, heuristic=3, winner=RED
depth=6, heuristic=4, winner=BLUE
depth=6, heuristic=5, winner=BLUE
